"'['||S.BUILDING_ID||']'","LATN_NAME","BUILDING_NAME"
"[11562675]","衢州市","封家工业园区黄金北路-浙江风云玩具厂2幢"
"[11562676]","衢州市","封家工业园区黄金北路-浙江风云玩具厂3幢"
"[11562677]","衢州市","封家工业园区黄金北路-游星电子科技有限公司1幢"
"[11562678]","衢州市","封家工业园区黄金北路-游星电子科技有限公司2幢"
"[11562679]","衢州市","解放路191号-茗都宾馆"
"[11562680]","衢州市","兴华街333号-华埠利群假日酒店"
"[11562681]","衢州市","华阳路19号-中国农业银行华埠支行"
"[11562682]","衢州市","华阳路35号-中国工商银行华埠支行"
"[11562683]","衢州市","兴华街196号-横街社区居委会"
"[11562684]","衢州市","兴华街192号-农村信用合作联社华埠信用社"
"[11562685]","衢州市","解放路29号-哇哈哈幼儿园"
"[11562686]","衢州市","兴华街26号-开化绿云工程管理有限公司"
"[11562687]","衢州市","华埠镇解放路119号-开化县华埠幼儿园"
"[11562688]","衢州市","华埠镇解放路149号-久红洒店"
"[11562689]","衢州市","华埠菜场2楼-惠悦佳超市"
"[11562690]","衢州市","华埠菜场3楼-惠悦佳超市"
"[11562691]","衢州市","华埠镇解放路103号-华埠人寿保险公司"
"[11562692]","衢州市","华龙路12号-杜康茶叶有限公司1"
"[11562693]","衢州市","华龙路12号-杜康茶叶有限公司2"
"[11562694]","衢州市","华龙路12号-杜康茶叶有限公司3"
"[11562695]","衢州市","华龙路10号-华埠自来水厂"
"[11562696]","衢州市","华龙路17号-小星星幼儿园"
"[11562697]","衢州市","华龙路8号-华埠交警中队接警室"
"[11562698]","衢州市","华龙路8号-华埠交警中队办公楼"
"[11562699]","衢州市","华工路-华康药厂3号门菓葡糖浆生产车间1"
"[11562700]","衢州市","华工路-华康药厂3号门菓葡糖浆生产车间2"
"[11562701]","衢州市","华埠镇金溪路-华埠镇富春紫光水务污水处理厂1幢"
"[11562702]","衢州市","华埠镇金溪路-华埠镇富春紫光水务污水处理厂2幢"
"[11562703]","衢州市","华埠镇金溪路-华埠镇富春紫光水务污水处理厂3幢"
"[11562704]","衢州市","百盛路426号-开化县开化木材检查站"
"[11562705]","衢州市","百盛路424号-开化县路政大队检查卸货办公楼"
"[11562706]","衢州市","华埠工业园区-开化中石化华埠华丰加油站"
"[11562707]","衢州市","百盛路-十通古艺厂房1幢（新）"
"[11562708]","衢州市","百盛路-十通古艺厂房2幢（新）"
"[11562709]","衢州市","百盛路-十通古艺厂房3幢（新）"
"[11562710]","衢州市","百盛路-十通古艺厂房4幢（新）"
"[11562711]","衢州市","百盛路-十通古艺办公展示大楼（新）"
"[11562712]","衢州市","百盛路418号-浙江七一电力器材有限公司1幢"
"[11562713]","衢州市","百盛路418号-浙江七一电力器材有限公司2幢"
"[11562714]","衢州市","百盛路418号-浙江七一电力器材有限公司3幢"
"[11562715]","衢州市","百盛路418号-浙江七一电力器材有限公司4幢"
"[11562716]","衢州市","百盛路418号-浙江七一电力器材有限公司生产车间1幢"
"[11562717]","衢州市","百盛路418号-浙江七一电力器材有限公司生产车间2幢"
"[11562718]","衢州市","百盛路418号-浙江七一电力器材有限公司生产车间3幢"
"[11562719]","衢州市","百盛路418号-浙江七一电力器材有限公司生产车间4幢"
"[11562720]","衢州市","百盛路418号-浙江七一电力器材有限公司生产车间5幢"
"[11562721]","衢州市","百盛路416号-浙江迪思威电气股份有限公司1幢"
"[11562722]","衢州市","百盛路416号-浙江迪思威电气股份有限公司2幢"
"[11562723]","衢州市","百盛路414号-开化佰家汉典红木馆展示大楼"
"[11562724]","衢州市","百盛路412号-开化金通驾校华埠训练场"
"[11562725]","衢州市","百盛路410号-衢州圣贝奇贸易有限公司"
"[11562726]","衢州市","百盛路410号-乐飞饰品有限公司"
"[11562727]","衢州市","百盛路410号-华埠大酒店员工宿舍"
"[11562728]","衢州市","百盛路410号-圆根艺品"
"[11562729]","衢州市","百盛路410号-开化颐养乐园养老院大楼"
"[11562730]","衢州市","百盛路408号-华埠镇专职消防中队宿舍楼"
"[11562731]","衢州市","百盛路408号-华埠镇专职消防中队（八角楼）"
"[11562732]","衢州市","百盛路408号-开化县综合行政执法局华埠分局（八角楼）"
"[11562733]","衢州市","百盛路408号-开化华埠大酒店"
